Id,SalePrice
1461,123356.98678961863
1462,155151.37339411347
1463,181347.0506355282
1464,184941.56161442754
1465,190687.2936335898
1466,180817.6217654539
1467,170396.70322403396
1468,175257.50525170585
1469,183730.02898098266
1470,125188.30711480915
1471,203370.46312557347
1472,94680.93676733659
1473,99109.02651462023
1474,152324.4300061638
1475,117575.29247194965
1476,365722.4090329947
1477,243025.56484524277
1478,289869.8154364109
1479,275179.28033686714
1480,478299.24394860555
1481,323901.1747378705
1482,204623.09489036514
1483,184068.57055905444
1484,168760.2950105653
1485,171261.09295282568
1486,198814.2960267009
1487,326078.04370160867
1488,238624.0622023729
1489,201820.40960852412
1490,214572.45418945025
1491,187910.75964656306
1492,92487.32902226929
1493,175778.39161336422
1494,289445.23438290774
1495,295829.13229254785
1496,229798.49253853885
1497,186793.7681660786
1498,155700.7374670116
1499,153400.51317354434
1500,159871.94384748727
1501,173307.55278656844
1502,147621.81432863066
1503,272757.9944603404
1504,230133.562026444
1505,220001.71029247149
1506,176586.53496462008
1507,259476.17719931682
1508,190789.6252409307
1509,158829.54389187263
1510,148473.48872959497
1511,147213.18911150092
1512,167093.82831044123
1513,148218.85061430113
1514,151241.18694684652
1515,213118.78923500673
1516,150749.34215407696
1517,151873.44347637022
1518,135004.12898090985
1519,220013.78405484385
1520,138825.19971745642
1521,143516.44958021597
1522,160541.0514831748
1523,121872.1896179186
1524,123433.67145111634
1525,124827.42025732291
1526,127893.68239600827
1527,101733.31651264074
1528,127175.67141036702
1529,142776.450533062
1530,163815.74730229864
1531,136674.67669866743
1532,104388.28986118562
1533,145331.2390319753
1534,117723.17642135355
1535,156815.12306981292
1536,119385.3550088408
1537,78206.38448776629
1538,147235.85459897405
1539,174975.19182245558
1540,121388.74418058796
1541,142048.97734689486
1542,144134.95630263077
1543,200476.83162739116
1544,82467.49656670036
1545,107448.89597437029
1546,122065.08887548711
1547,137368.37419005155
1548,128731.80985087398
1549,108675.42187400717
1550,141857.16395314294
1551,118643.83017308226
1552,149226.10981808355
1553,135777.84824874194
1554,113489.54355921633
1555,173060.5592406389
1556,94619.35602229128
1557,121577.56413683324
1558,86257.33666406151
1559,123316.12002467766
1560,146332.71337134836
1561,154311.62163280358
1562,126924.85964737304
1563,125913.44648125967
1564,162432.85402776388
1565,154500.78251505087
1566,208035.22036813817
1567,79511.35975910121
1568,216313.1880940054
1569,151100.22653636173
1570,131267.09019604116
1571,124172.53846303589
1572,141984.8268951109
1573,237959.77563010363
1574,125094.18720299461
1575,208077.43234484785
1576,221724.47792846267
1577,198978.51719112165
1578,137124.05582174365
1579,142450.00877090901
1580,187327.90249167525
1581,139217.87650503212
1582,127803.06206352507
1583,325954.95556260593
1584,237029.66999713788
1585,139959.07670280343
1586,74527.28571409277
1587,103230.992855827
1588,149616.56474656807
1589,106595.67628256729
1590,132744.33340378836
1591,103489.50906419796
1592,125608.28412358968
1593,114401.62639317184
1594,141771.18219916357
1595,133138.08056237746
1596,232645.13573745269
1597,163448.89679990872
1598,177697.51883077508
1599,158566.41857867726
1600,171802.9608694608
1601,78057.5546375268
1602,112891.15629836537
1603,89074.81194186826
1604,278709.72843831964
1605,242779.8245165121
1606,170563.62784856948
1607,167840.96164982187
1608,210818.70604138006
1609,192322.46059953864
1610,162710.39869229263
1611,150718.6856580302
1612,182229.12754654806
1613,175092.39345245506
1614,122664.47870084032
1615,88591.13900766661
1616,84635.5743810343
1617,89539.62235063502
1618,126709.58624445765
1619,131347.8157404961
1620,182562.29538561462
1621,145219.49839768207
1622,145121.98995944794
1623,277294.85376935883
1624,221494.73927285295
1625,123329.86664317618
1626,167950.4757598827
1627,184069.58319196335
1628,262590.69015940465
1629,174182.76949451893
1630,360703.46170286246
1631,202603.4067434828
1632,241575.8512755373
1633,168038.02220589342
1634,188207.2541848519
1635,179488.4724399238
1636,166453.04906557497
1637,188394.84245709176
1638,197043.15250654277
1639,182372.4890550427
1640,256359.21326748817
1641,173633.1748584839
1642,226160.33677076828
1643,226827.0913175379
1644,224917.4709553411
1645,186630.68956581035
1646,155412.21953597237
1647,159266.81946171136
1648,141670.1233942178
1649,139724.5615236725
1650,123906.60435815626
1651,121959.50650742225
1652,94986.36071048059
1653,97953.5051853081
1654,155595.46482974483
1655,143396.9139317637
1656,150053.81979113736
1657,154769.28485497012
1658,154754.306992453
1659,126728.51196706966
1660,145729.9542378302
1661,451709.98309824313
1662,367920.9449245195
1663,369117.1648581628
1664,481266.0380220378
1665,300884.1392043136
1666,325314.01458067226
1667,361964.077793555
1668,326645.37488270056
1669,284354.32470130356
1670,331374.9832020047
